"estimate","ci_lo","ci_hi","behavior","class"
1.18709862613175,1.1477281123373,1.2270111765297,"talk_climate","unadjusted"
1.96867147181769,1.78205959647907,2.16757142626714,"donate_money","unadjusted"
1.98261700311371,1.83758372586853,2.13572924350315,"signed_petitions","unadjusted"
1.74349066608268,1.58417937041726,1.91577855469072,"advocated_change","unadjusted"
1.46970251149004,1.30646429022914,1.64621030854567,"engaged_policymakers","unadjusted"
1.88342237397109,1.55142678800771,2.26854712449068,"engaged_disobedience","unadjusted"
3.31553963785325,2.87887183760023,3.78729919398726,"engaged_protest","unadjusted"
1.64471760120195,1.49319342494934,1.81335675978449,"engaged_advocacy","unadjusted"
1.8131637415353,1.56909080784822,2.08836218873795,"wrote_letters","unadjusted"
1.57520175980831,1.47761817411498,1.67861655998272,"reduced_flying","unadjusted"
1.40868826607554,1.34681013638853,1.47491153046346,"reduced_car","unadjusted"
1.30441637422432,1.15160137514733,1.47068230254884,"electric_vehicle","unadjusted"
1.1261605642532,1.05518151308017,1.20099004328734,"energy_home","unadjusted"
2.02552494030907,1.85185321494271,2.20877204342629,"veggie_diet","unadjusted"
1.35177773472626,1.24696269661026,1.46725136819555,"fewer_children","unadjusted"
1.0806882411079,1.04618320482809,1.1174976596091,"talk_climate","adjusted"
1.31263740739852,1.18736554499154,1.45463571813383,"donate_money","adjusted"
1.28919363054156,1.2054344766485,1.3791599163014,"signed_petitions","adjusted"
1.24567121014261,1.13051193120736,1.36724675805341,"advocated_change","adjusted"
1.24483023119773,1.11081450842173,1.38697006405279,"engaged_policymakers","adjusted"
1.30398106693986,1.07444356737311,1.56533181327657,"engaged_disobedience","adjusted"
1.74189283398977,1.52932493395178,1.97707708198127,"engaged_protest","adjusted"
1.34950534126491,1.2330612211215,1.47698769293681,"engaged_advocacy","adjusted"
1.38819174975465,1.20629723272131,1.59443211426542,"wrote_letters","adjusted"
1.32679168311917,1.24634191438028,1.41334421125296,"reduced_flying","adjusted"
1.2233767644866,1.17059853097824,1.27830970164575,"reduced_car","adjusted"
1.07558087906155,0.947987852067678,1.22218926490668,"electric_vehicle","adjusted"
0.999629913843686,0.936738776179496,1.06413453305113,"energy_home","adjusted"
1.45385029109194,1.33352217677159,1.58744647463694,"veggie_diet","adjusted"
1.22890048893753,1.12953913706674,1.33636557531444,"fewer_children","adjusted"
