"estimate","ci_lo","ci_hi","behavior","class"
1.18708368177884,1.14903800219444,1.22821660993726,"talk_climate","unadjusted"
1.97088528974264,1.78115353547789,2.17318678809615,"donate_money","unadjusted"
1.98319596383727,1.84118500826256,2.13521624210476,"signed_petitions","unadjusted"
1.74049697597529,1.58040051240937,1.91644401953397,"advocated_change","unadjusted"
1.46803845970462,1.3049355897323,1.6471490713565,"engaged_policymakers","unadjusted"
1.88275271839921,1.56083208604779,2.26352735330541,"engaged_disobedience","unadjusted"
3.31103832658927,2.891749634987,3.778828140234,"engaged_protest","unadjusted"
1.64705721374705,1.48986440094035,1.80650092420671,"engaged_advocacy","unadjusted"
1.81553698007205,1.57744270832928,2.08703669390842,"wrote_letters","unadjusted"
1.57423797057326,1.47568010164023,1.67771146353096,"reduced_flying","unadjusted"
1.40873956599361,1.34594561535274,1.47662572849534,"reduced_car","unadjusted"
1.3036950666672,1.15143643821274,1.4716404362583,"electric_vehicle","unadjusted"
1.12560351355056,1.05530763182793,1.2000632724369,"energy_home","unadjusted"
2.02928755515202,1.86485367622308,2.21022301507784,"veggie_diet","unadjusted"
1.3507766863043,1.246512833919,1.46492703765008,"fewer_children","unadjusted"
1.11630037547996,1.07942049205451,1.15427837980763,"talk_climate","adjusted"
1.42001669910008,1.28551226641924,1.56762513405583,"donate_money","adjusted"
1.38027547428656,1.28849414045793,1.48263583376834,"signed_petitions","adjusted"
1.34065004615768,1.21930565715481,1.47339936840753,"advocated_change","adjusted"
1.28786511787378,1.14770237581851,1.44218920831507,"engaged_policymakers","adjusted"
1.41210100289882,1.16325333554052,1.71259961902073,"engaged_disobedience","adjusted"
1.87674012988708,1.64591866598454,2.13604776999087,"engaged_protest","adjusted"
1.39586416263419,1.27941928313936,1.52702077871879,"engaged_advocacy","adjusted"
1.46359738369815,1.26807953952685,1.68773466231302,"wrote_letters","adjusted"
1.3904241160343,1.30495757212767,1.48042229148774,"reduced_flying","adjusted"
1.24813606214258,1.19497903451793,1.30240564452711,"reduced_car","adjusted"
1.11226704851203,0.975992016734886,1.26552202542868,"electric_vehicle","adjusted"
1.02297765109661,0.958412495148379,1.09194123054324,"energy_home","adjusted"
1.52329684413986,1.40054450803259,1.6553679940877,"veggie_diet","adjusted"
1.25966321356384,1.15745287694195,1.37201551138368,"fewer_children","adjusted"
